NAT2,Bladder Neoplasm
NAT2,Drug Allergy
NAT2,Leukopenia
NAT2,Liver neoplasms
NAT2,Neural Tube Defects
NAT2,Dermatitis Occupational
NAT2,Prostatic Neoplasms
NAT2,Adverse reaction to drug
NAT2,Malignant mesothelioma
NAT2,Mammary Neoplasms
NAT2,Coronary Artery Disease
NAT2,Precursor Cell Lymphoblastic Leukemia Lymphoma
NAT2,Chemical and Drug Induced Liver Injury
ADA,Alopecia
ADA,Autoimmune hemolytic anemia
ADA,Asthma
ADA,Autistic Disorder
ADA,Exfoliative dermatitis
ADA,Diarrhea
ADA,Edema
ADA,Eosinophilia
ADA,Fever
ADA,Hepatomegaly
ADA,Hyperemia
ADA,Liver Cirrhosis Experimental
ADA,Lung Neoplasms
ADA,Lymphopenia
ADA,Paranasal Sinus Diseases
ADA,Pneumonia
ADA,Pruritus
ADA,Sinusitis
ADA,Spinal Cord Diseases
ADA,Splenomegaly
ADA,BCell Lymphomas
ADA,Severe Combined Immunodeficiency
ADA,Dry skin
ADA,Immunoglobulin A deficiency (disorder)
ADA,Failure to gain weight
ADA,Elevated IgE
ADA,Decreased IgM
ADA,Autoimmune thrombocytopenia
ADA,Xerosis
ADA,Diffuse mesangial sclerosis (disorder)
ADA,Pachyderma
ADA,Severe combined immunodeficiency due to adenosine deaminase deficiency
ADA,Immune thrombocytopenic purpura
ADA,Chronic diarrhea
ADA,Atypical lymphocyte observed
ADA,Lymphadenopathy
ADA,Congenital absence of thymus
ADA,Idiopathic thrombocytopenia
ADA,Recurrent viral infections
ADA,Desquamation of skin soon after birth
ADA,Recurrent bacterial infection
ADA,Recurrent fungal infections
ADA,Platyspondyly
ADA,Anterior rib cupping
ADA,Sparseabsent eyebrows
ADA,Low B cell count
ADA,SCID Due to ADA Deficiency EarlyOnset
ADA,Absent specific antibody response
ADA,Absent B cells
ADA,Somatic mosaicism
ADA,Absence of eyebrows
ADA,Pediatric failure to thrive
ADA,Omenn Syndrome
ADA,Increased susceptibility to bacterial infections
ADA,Sparse or absent eyebrows
ADA,Reactive airway disease
ADA,Absence of B cells
ADA,Prone to bacterial infection
ADA,Abnormality of pelvic girdle bone morphology
ADA,Diffusely thickened skin
ADA,Autosomal recessive predisposition
ADA,Immunoglobulin IgG2 deficiency
ADA,AplasiaHypoplasia of the eyebrow
ADA,Reduced red cell adenosine deaminase activity
CDH2,Neoplasm Metastasis
CDH2,Nerve Degeneration
CDH2,Status Epilepticus
CDH2,Stomach Neoplasms
CDH2,Myocardial Ischemia
AKT3,Epilepsy
AKT3,Ventricular Septal Defects
AKT3,Hydrocephalus
